user_id,order_id,time,description,product_id,product_name,amount,price
LIK48JYS,XBH011609/013,2016-09-10,Xuất bán T09/13 - LTINV1611 -LSX2016/ 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/012,2016-09-10,Xuất bán T09/12 - LTINV1610 -LSX2016/ 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/011,2016-09-10,Xuất bán T09/11 - LTINV1609 -LSX2016/ 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/016,2016-09-10,Xuất bán T09/16 - LTINV1615 -LSX2016/ 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK45JYS,XBH011608/039,2016-08-31,Xuất bán T08/39 -LTINV6817 ngày ETD 5/9/2016,LTCBIR2F310SP1,New Birkemose Chair_F310,1976.0,20056.4
LIK48JYS,XBH011608/034,2016-08-31,Xuất bán T08/34 -LTINV6944 ngày ETD 5/9/2016,LTCBIR1F314SP1,New Birkemose Chair_F314,1976.0,20056.4
LIK45JYS,XBH011608/040,2016-08-31,Xuất bán T08/40 -LTINV6806 ngày ETD 5/9/2016,LTCBIR2F310SP1,New Birkemose Chair_F310,1976.0,20056.4
LIK48JYS,XBH011608/035,2016-08-31,Xuất bán T08/35 -LTINV6941 ngày ETD 5/9/2016,LTCBIR1F314SP1,New Birkemose Chair_F314,1976.0,20056.4
LIK48JYS,XBH011608/036,2016-08-31,Xuất bán T08/36 -LTINV6945 ngày ETD 5/9/2016,LTCBIR1F314SP1,New Birkemose Chair_F314,1976.0,20056.4
LIK48JYS,XBH011608/037,2016-08-31,Xuất bán T08/37 -LTINV6942 ngày ETD 5/9/2016,LTCBIR1F314SP1,New Birkemose Chair_F314,1976.0,20056.4
LIK49BET,XBH011608/033,2016-08-31,Xuất bán T08/33 -4511045687/10ngày ETD 2/9/2016,LTCCAV1F310AP1,Cavallino Chair_AL_F310,720.0,10080.0
LIK45JYS,XBH011608/038,2016-08-31,Xuất bán T08/38 -LTINV6794 ngày ETD 5/9/2016,LTCBIR2F310SP1,New Birkemose Chair_F310,1976.0,20056.4
LIK45JYS,XBH011608/028,2016-08-30,Xuất bán T08/28 - LTINV6783 ngày ETD 5/9/2016,LTCBIR2F310SP1,New Birkemose Chair_F310,1976.0,20056.4
LIK45JYS,XBH011608/027,2016-08-30,Xuất bán T08/27 - LTINV6772 ngày ETD 5/9/2016,LTCBIR2F310SP1,New Birkemose Chair_F310,1976.0,20056.4
LIK48JYS,XBH011608/029,2016-08-30,Xuất bán T08/29 - LTINV6935 ngày ETD 5/9/2016,LTCBIR1F314SP1,New Birkemose Chair_F314,1976.0,20056.4
LIK46JYS,XBH011608/026,2016-08-30,Xuất bán T08/26 -LTINV3813 ngày ETD 5/9/2016,LTCBIR2F310SP1,New Birkemose Chair_F310,1976.0,20056.4
LIK46JYS,XBH011608/025,2016-08-30,Xuất bán T08/25 -LTINV3812ngày ETD 5/9/2016,LTCBIR2F310SP1,New Birkemose Chair_F310,1976.0,20056.4
LIK48JYS,XBH011608/032,2016-08-30,Xuất bán T08/32 - LTINV6940 ngày ETD 5/9/2016,LTCBIR1F314SP1,New Birkemose Chair_F314,1976.0,20056.4
LIK48JYS,XBH011608/031,2016-08-30,Xuất bán T08/31 - LTINV6937 ngày ETD 5/9/2016,LTCBIR1F314SP1,New Birkemose Chair_F314,1976.0,20056.4
LIK48JYS,XBH011608/030,2016-08-30,Xuất bán T08/30 - LTINV6936 ngày ETD 5/9/2016),LTCBIR1F314SP1,New Birkemose Chair_F314,1976.0,20056.4
NTH852NTH,XBH011608/001,2016-08-03,Xuất bán T08/001- GLGS370 ngày ETD 15/8/2016(Xuất đi Quy Nhơn),LTCSCO1R334AK3,Scout Bar Chair_R334,157.0,3297.0
AQU57FAL,XBH011608/024,2016-08-29,Xuất bán T08/24 - LT13016COFA ngày ETD 29/08/2016,LTSSAN3H085SCA1,SanDiego 3 Seater_H085,24.0,4080.0
