Mã KH,Số Phiếu Xuất,,Ngày Ghi Sổ,Diễn Giải,Mã Sản Phẩm,Tên Sản Phẩm,Số Lượng,Thành Tiền,,,,,,,,,,,,
,,,,,LTCJAPMF268SC1,Japan Sofa Middle_F268,34.00,"1,385.50",,,,,,,,,,,,
,,,,,LTCJAPRF268SC1,Japan Sofa Right_F268,34.00,"1,385.50",,,,,,,,,,,,
,,,,,LTLDIN11160ACK1,Dinning Sofa Set_Left_F1160,6.00,354.00,,,,,,,,,,,,
,,,,,LTMDIN21160ACA1,Dinning Sofa Set_Middle 2 seater w/o armrest_F1160,6.00,354.00,,,,,,,,,,,,
,,,,,LTMDIN21160ACA2,Dinning Sofa Set_Middle 2 seater w 1 armrest_F1160,6.00,354.00,,,,,,,,,,,,
,,,,,LTODIN11160ACA1,Dinning Sofa Set_Ottoman_F1160,6.00,354.00,,,,,,,,,,,,
,,,,,LTTDIN11160ACK1,Dinning Sofa Set_Table_F1160,6.00,354.00,,,,,,,,,,,,
,,,,,LTTJAP1F268SC1,Japan Sofa Table_F268,34.00,"1,385.50",,,,,,,,,,,,
,,,,,LTRDIN11160ACK1,Dinning Sofa Set_Right_F1160,6.00,354.00,,,,,,,,,,,,
,,,,Xuất bán T12/114 - RUTLUBLUBLJANA2 - LSX 42 Total,,,206.00,"9,606.00",,,,,,,,,,,,
,XBH011612/115,,12/31/16 0:00,Xuất bán T12/115 - RUTLUBLUBLJANA1 - LSX 42,LTBALB1F310SCK1,Albi Bench_F310,97.00,"3,880.00",,,,,,,,,,,,
,,,,,LTCALB1F310SCK1,Albi Armchair_F310,194.00,"3,880.00",,,,,,,,,,,,
,,,,,LTCBIR1F274SPA1,Birkemose (Jubi) Chair _F274,33.00,524.70,,,,,,,,,,,,
,,,,,LTCGEN1F268SP1,Genova Chair_F268,100.00,"2,220.00",,,,,,,,,,,,
,,,,,LTCPRI1F268SPA1,Prisca Chair_F268,180.00,"2,898.00",,,,,,,,,,,,
,,,,,LTCVIS1F268SP1,Visby chair F268,68.00,836.40,,,,,,,,,,,,
,,,,,LTSDIA1F268SC1,Diana Footres_F268,10.00,155.00,,,,,,,,,,,,
,,,,,LTTALB1F310SCK1,Albi Table_F310,97.00,"3,880.00",,,,,,,,,,,,
,,,,,LTTSQU1F268SC1,Square Table_F268,25.00,"1,200.00",,,,,,,,,,,,
,,,,,LTTREC1F268SC1,Rect Table_F268,15.00,"1,110.00",,,,,,,,,,,,
,,,,Xuất bán T12/115 - RUTLUBLUBLJANA1 - LSX 42 Total,,,819.00,"20,584.10",,,,,,,,,,,,
,XBH011701/013,,1/5/17 0:00,Xuất bán T01/013- HSGEN-GENDERKINGEN -LSX 42,LTLDIN11160ACK1,Dinning Sofa Set_Left_F1160,26.00,"1,840.80",,,,,,,,,,,,
,,,,,LTMDIN21160ACA1,Dinning Sofa Set_Middle 2 seater w/o armrest_F1160,26.00,"1,840.80",,,,,,,,,,,,
,,,,,LTMDIN21160ACA2,Dinning Sofa Set_Middle 2 seater w 1 armrest_F1160,26.00,"1,840.80",,,,,,,,,,,,
,,,,,LTODIN11160ACA1,Dinning Sofa Set_Ottoman_F1160,26.00,"1,840.80",,,,,,,,,,,,
,,,,,LTRDIN11160ACK1,Dinning Sofa Set_Right_F1160,26.00,"1,840.80",,,,,,,,,,,,
,,,,Xuất bán T01/013- HSGEN-GENDERKINGEN -LSX 42 Total,,,130.00,"9,204.00",,,,,,,,,,,,
,XBH011701/022,,1/7/17 0:00,Xuất bán T01/022-SPIGROB-GROBWALLSTADT - LSX 42,LTBDIA1F268SCA1,Diana Lounger_F268,3.00,240.00,,,,,,,,,,,,
,,,,,LTCDIA1F268SCK2,Diana Position Chair_F268,4.00,164.00,,,,,,,,,,,,
,,,,,LTCGEN1F268SP1,Genova Chair_F268,48.00,"1,065.60",,,,,,,,,,,,
,,,,,LTCJAPLF268SC1,Japan Sofa Left_F268,4.00,163.00,,,,,,,,,,,,
,,,,,LTCJAPMF268SC1,Japan Sofa Middle_F268,4.00,163.00,,,,,,,,,,,,
,,,,,LTCJAPRF268SC1,Japan Sofa Right_F268,4.00,163.00,,,,,,,,,,,,
,,,,,LTCPRI1F268SPA1,Prisca Chair_F268,30.00,483.00,,,,,,,,,,,,
,,,,,LTCVIS1F268SP1,Visby chair F268,56.00,688.80,,,,,,,,,,,,
,,,,,LTLDIN11160ACK1,Dinning Sofa Set_Left_F1160,3.00,212.40,,,,,,,,,,,,
,,,,,LTMDIN21160ACA1,Dinning Sofa Set_Middle 2 seater w/o armrest_F1160,3.00,212.40,,,,,,,,,,,,
,,,,,LTMDIN21160ACA2,Dinning Sofa Set_Middle 2 seater w 1 armrest_F1160,3.00,212.40,,,,,,,,,,,,
,,,,,LTODIN11160ACA1,Dinning Sofa Set_Ottoman_F1160,3.00,212.40,,,,,,,,,,,,
,,,,,LTSDIA1F268SC1,Diana Footres_F268,3.00,46.50,,,,,,,,,,,,
,,,,,LTTJAP1F268SC1,Japan Sofa Table_F268,4.00,163.00,,,,,,,,,,,,
,,,,,LTTSQU1F268SC1,Square Table_F268,5.00,240.00,,,,,,,,,,,,
,,,,,LTTREC1F268SC1,Rect Table_F268,4.00,296.00,,,,,,,,,,,,
,,,,,LTRDIN11160ACK1,Dinning Sofa Set_Right_F1160,3.00,212.40,,,,,,,,,,,,
,,,,Xuất bán T01/022-SPIGROB-GROBWALLSTADT - LSX 42 Total,,,184.00,"4,937.90",,,,,,,,,,,,
,XBH011701/023,,1/7/17 0:00,Xuất bán T01/023-JETTENBURG - LSX 42,LTBDIA1F268SCA1,Diana Lounger_F268,15.00,"1,200.00",,,,,,,,,,,,
,,,,,LTCCORCF268AK1,Corner Sofa Set_Corner_F268,7.00,485.80,,,,,,,,,,,,
,,,,,LTCCORLF268AK1,Corner sofa set(158085 left)_F268,7.00,485.80,,,,,,,,,,,,
